geoid,year,Total Population,Male Population,Male Under 5 years,Male 5 to 9 years,Male 10 to 14 years,Male 15 to 17 years,Male 18 and 19 years,Male 20 years,Male 21 years,Male 22 to 24 years,Male 25 to 29 years,Male 30 to 34 years,Male 35 to 39 years,Male 40 to 44 years,Male 45 to 49 years,Male 50 to 54 years,Male 55 to 59 years,Male 60 and 61 years,Male 62 to 64 years,Male 65 and 66 years,Male 67 to 69 years,Male 70 to 74 years,Male 75 to 79 years,Male 80 to 84 years,Male 85 years and over,Female Population,Female Under 5 years,Female 5 to 9 years,Female 10 to 14 years,Female 15 to 17 years,Female 18 and 19 years,Female 20 years,Female 21 years,Female 22 to 24 years,Female 25 to 29 years,Female 30 to 34 years,Female 35 to 39 years,Female 40 to 44 years,Female 45 to 49 years,Female 50 to 54 years,Female 55 to 59 years,Female 60 and 61 years,Female 62 to 64 years,Female 65 and 66 years,Female 67 to 69 years,Female 70 to 74 years,Female 75 to 79 years,Female 80 to 84 years,Female 85 years and over
16000US0455000,2008,1525257,784042,68429,62916,58018,35450,19380,11069,14143,30910,70091,68119,62722,58657,56769,48848,40847,13578,15258,8349,10133,11096,10341,4916,4003,741215,71511,59041,54300,30069,18634,8206,8605,27752,57738,59502,53882,53305,54405,47568,37944,13528,17395,8254,11855,14197,13025,9464,11035
16000US0455000,2009,1593660,822807,78210,63125,58316,37441,20907,12839,8985,33897,79300,72926,66780,59517,58159,49384,37709,13900,18428,7963,9475,12981,9968,7389,5208,770853,71719,64438,60078,33150,19611,9458,9241,30904,63270,63166,56115,51587,52558,46442,37630,17827,16735,8413,11272,13825,13234,9402,10778
16000US0455000,2010,1449481,731869,58996,55910,63443,32897,23123,10894,11140,31499,58826,60161,53755,53459,48164,44086,36985,13418,18246,9678,11811,13057,11341,5911,5069,717612,53022,52837,57201,29110,19698,10088,12129,29613,58329,54958,52070,50812,49562,46670,37447,14991,19526,10524,13396,15593,10807,10346,8883
16000US0455000,2011,1469484,739978,62498,52601,60524,36236,20729,12707,10527,38463,57706,52707,52772,54571,53612,45596,40211,15982,18128,7979,11181,14151,9021,7213,4863,729506,53517,54998,51098,34120,19128,11890,12392,30647,57073,51399,49852,54786,54011,47955,42438,14115,18048,9967,12643,15727,13539,9201,10962
16000US0455000,2012,1488759,743172,60116,59163,54365,32176,21428,12783,12205,34519,58629,60544,51128,56002,51326,45357,39744,14767,18543,11958,10604,14292,10137,7019,6367,745587,57370,55445,54409,31069,20259,10650,11803,33643,56998,52714,51732,57358,51601,48019,43224,13731,19361,11694,14146,17545,12392,10297,10127
16000US0455000,2013,1513350,756150,58342,60695,57410,31037,20823,13931,12643,36211,65095,59552,49331,53288,51548,50730,42111,14886,18761,11849,12561,13408,9402,6358,6178,757200,53616,59162,53064,30825,18726,11697,11275,35751,58130,61162,48502,55516,49565,51792,43494,14875,21548,13729,12604,20446,12012,8524,11185
16000US0455000,2014,1537045,763915,59171,59534,54680,33595,21970,11363,11303,32021,61958,61971,49966,58826,50909,50199,42718,13994,21142,11704,15605,16074,10448,7788,6976,773130,56558,60076,56764,32531,20805,12081,9580,36043,61093,56756,54943,53318,50924,50691,40605,16301,22360,13953,14739,21013,12781,9269,9946
16000US0455000,2015,1563001,786833,60464,60456,61339,33349,20386,12826,10979,36299,60256,63952,58340,54952,50061,50136,43551,15445,23307,10765,15295,18028,13187,6415,7045,776168,52735,55631,53673,33086,18632,10956,10666,35878,60806,59150,60799,49435,51014,49469,44870,16690,21515,15247,16453,20572,16406,9926,12559
